filename,resource_kind,label,category,subtype,expected_constraint,outcome,predicted_label,latency_ms,denial_messages
compliant/compliant-pod-0136.yaml,Pod,0,none,none,,ADMITTED,0,1653.63,
compliant/compliant-pod-0137.yaml,Pod,0,none,none,,ADMITTED,0,1712.66,
compliant/compliant-pod-0138.yaml,Pod,0,none,none,,ADMITTED,0,1925.1,
compliant/compliant-pod-0139.yaml,Pod,0,none,none,,ADMITTED,0,1952.13,
compliant/compliant-pod-0140.yaml,Pod,0,none,none,,ADMITTED,0,1856.43,
compliant/compliant-pod-0141.yaml,Pod,0,none,none,,ADMITTED,0,1891.39,
compliant/compliant-pod-0142.yaml,Pod,0,none,none,,ADMITTED,0,1865.82,
compliant/compliant-pod-0143.yaml,Pod,0,none,none,,ADMITTED,0,1833.22,
compliant/compliant-pod-0144.yaml,Pod,0,none,none,,ADMITTED,0,1686.54,
compliant/compliant-pod-0145.yaml,Pod,0,none,none,,ADMITTED,0,1838.48,
compliant/compliant-pod-0146.yaml,Pod,0,none,none,,ADMITTED,0,1792.25,
compliant/compliant-pod-0147.yaml,Pod,0,none,none,,ADMITTED,0,1619.12,
compliant/compliant-pod-0148.yaml,Pod,0,none,none,,ADMITTED,0,1719.6,
compliant/compliant-pod-0149.yaml,Pod,0,none,none,,ADMITTED,0,1815.21,
compliant/compliant-pod-0150.yaml,Pod,0,none,none,,ADMITTED,0,1728.47,
compliant/compliant-pod-0151.yaml,Pod,0,none,none,,ADMITTED,0,1673.44,
compliant/compliant-pod-0152.yaml,Pod,0,none,none,,ADMITTED,0,1671.62,
compliant/compliant-pod-0153.yaml,Pod,0,none,none,,ADMITTED,0,1662.47,
compliant/compliant-pod-0154.yaml,Pod,0,none,none,,ADMITTED,0,1843.88,
compliant/compliant-pod-0155.yaml,Pod,0,none,none,,ADMITTED,0,1698.15,
compliant/compliant-pod-0156.yaml,Pod,0,none,none,,ADMITTED,0,1812.11,
compliant/compliant-pod-0157.yaml,Pod,0,none,none,,ADMITTED,0,1752.53,
compliant/compliant-pod-0158.yaml,Pod,0,none,none,,ADMITTED,0,1753.11,
compliant/compliant-pod-0159.yaml,Pod,0,none,none,,ADMITTED,0,1830.25,
compliant/compliant-pod-0160.yaml,Pod,0,none,none,,ADMITTED,0,1897.46,
compliant/compliant-pod-0161.yaml,Pod,0,none,none,,ADMITTED,0,1750.85,
compliant/compliant-pod-0162.yaml,Pod,0,none,none,,ADMITTED,0,1850.94,
compliant/compliant-pod-0163.yaml,Pod,0,none,none,,ADMITTED,0,1743.58,
compliant/compliant-pod-0164.yaml,Pod,0,none,none,,ADMITTED,0,1664.22,
compliant/compliant-pod-0165.yaml,Pod,0,none,none,,ADMITTED,0,1549.17,
compliant/compliant-pod-0166.yaml,Pod,0,none,none,,ADMITTED,0,1529.7,
compliant/compliant-pod-0167.yaml,Pod,0,none,none,,ADMITTED,0,1582.21,
compliant/compliant-pod-0168.yaml,Pod,0,none,none,,ADMITTED,0,1622.26,
compliant/compliant-pod-0169.yaml,Pod,0,none,none,,ADMITTED,0,1621.88,
compliant/compliant-pod-0170.yaml,Pod,0,none,none,,ADMITTED,0,1830.22,
compliant/compliant-pod-0171.yaml,Pod,0,none,none,,ADMITTED,0,1907.4,
compliant/compliant-pod-0172.yaml,Pod,0,none,none,,ADMITTED,0,1797.71,
compliant/compliant-pod-0173.yaml,Pod,0,none,none,,ADMITTED,0,1731.7,
compliant/compliant-pod-0174.yaml,Pod,0,none,none,,ADMITTED,0,1722.38,
compliant/compliant-pod-0175.yaml,Pod,0,none,none,,ADMITTED,0,1883.28,
compliant/compliant-pod-0176.yaml,Pod,0,none,none,,ADMITTED,0,1776.58,
compliant/compliant-pod-0177.yaml,Pod,0,none,none,,ADMITTED,0,1700.54,
compliant/compliant-pod-0178.yaml,Pod,0,none,none,,ADMITTED,0,1781.01,
compliant/compliant-pod-0179.yaml,Pod,0,none,none,,ADMITTED,0,1690.4,
compliant/compliant-pod-0180.yaml,Pod,0,none,none,,ADMITTED,0,1852.56,
compliant/compliant-pod-0181.yaml,Pod,0,none,none,,ADMITTED,0,1700.97,
compliant/compliant-pod-0182.yaml,Pod,0,none,none,,ADMITTED,0,1586.38,
compliant/compliant-pod-0183.yaml,Pod,0,none,none,,ADMITTED,0,1604.85,
compliant/compliant-pod-0184.yaml,Pod,0,none,none,,ADMITTED,0,1678.83,
compliant/compliant-pod-0185.yaml,Pod,0,none,none,,ADMITTED,0,1627.73,
compliant/compliant-pod-0186.yaml,Pod,0,none,none,,ADMITTED,0,1715.4,
compliant/compliant-pod-0187.yaml,Pod,0,none,none,,ADMITTED,0,1839.91,
compliant/compliant-pod-0188.yaml,Pod,0,none,none,,ADMITTED,0,1831.62,
compliant/compliant-pod-0189.yaml,Pod,0,none,none,,ADMITTED,0,1793.78,
compliant/compliant-pod-0190.yaml,Pod,0,none,none,,ADMITTED,0,1745.6,
compliant/compliant-pod-0191.yaml,Pod,0,none,none,,ADMITTED,0,1796.04,
compliant/compliant-pod-0192.yaml,Pod,0,none,none,,ADMITTED,0,1713.98,
compliant/compliant-pod-0193.yaml,Pod,0,none,none,,ADMITTED,0,1747.72,
